timestamps,open,high,low,close,volume,amount
20250903,5.26,5.49,5.18,5.21,1213902.54,645967.279
20250902,4.92,5.1,4.91,5.07,668795.68,335473.454
20250901,4.93,4.99,4.86,4.94,504752.39,249277.052
20250829,4.86,5.02,4.85,4.91,717101.36,354799.282
20250828,4.84,4.87,4.79,4.86,314399,151870.438
20250827,4.93,4.94,4.82,4.82,415937.72,202828.364
20250826,4.98,5,4.93,4.94,358092.57,177396.368
20250825,4.98,5.01,4.94,5,435649.29,217031.753
20250822,5.07,5.11,4.95,5,455370.95,227341.138
20250821,4.94,5.1,4.94,5.08,505073.83,254792.672
20250820,4.89,4.98,4.87,4.97,397005.04,195639.331
20250819,4.93,4.95,4.89,4.9,256265.79,125917.279
20250818,4.88,4.97,4.85,4.95,390678.2,191835.85
20250815,4.94,4.94,4.82,4.88,360946.95,175357.015
20250814,4.96,4.98,4.92,4.94,238104.39,117829.527
20250813,5.02,5.04,4.95,4.96,323669.86,161388.373
20250812,5.02,5.06,5.01,5.02,265614.4,133709.204
20250811,5.07,5.09,4.99,5.01,359671.98,180562.042
20250808,5.12,5.14,5.06,5.07,235797.91,120222.776
20250807,5.11,5.13,5.05,5.13,274793.3,140212.759
20250806,5.08,5.12,5.04,5.11,386935.32,196672.905
20250805,4.92,5.07,4.92,5.06,429113.94,214862.461
20250804,4.79,5.04,4.79,4.94,823955.13,408217.16
20250801,4.9,5.01,4.8,4.81,908196.5,445493.214
20250731,4.86,4.88,4.72,4.75,542961.68,258785.401
20250730,4.86,4.89,4.83,4.88,369760.73,179822.862
20250729,4.94,5.01,4.84,4.86,394938.98,193300.034
20250728,4.87,5.03,4.87,4.94,603731.65,300403.136
20250725,4.86,4.91,4.85,4.86,340811.17,166370.278
20250724,4.98,4.98,4.82,4.88,547462.84,266743.574
20250723,4.96,5.02,4.96,4.97,310883.34,155210.218
20250722,4.99,4.99,4.86,4.98,349866.87,172470.689
20250721,5.01,5.04,4.98,4.99,236602.87,118278.263
20250718,4.98,5.01,4.96,5.01,211130.05,105404.638
20250717,4.99,5.02,4.96,4.98,207130.01,103233.249
20250716,5.02,5.05,4.96,4.99,340402.08,169772.901
20250715,5.12,5.15,5.02,5.03,351340.7,178325.225
20250714,5.07,5.16,5.07,5.11,397712.47,203823.623
20250711,5.2,5.22,5.08,5.08,600024.1,308892.322
